Subject,lat,cityName,long,stateAbbr,deliveryAddress,type,zipCode
163,50.8866005,,5.9716401,,,SpatialThing,
164,51.8859406,,4.4910402,,,SpatialThing,
20,52.5081482,,4.9466801,,,SpatialThing,
165,51.919229224,,4.481458474,,,SpatialThing,
177,52.363164637,,4.886929126,,,SpatialThing,
178,52.2187576,,6.8949299,,,SpatialThing,
179,51.920970951,,4.478130264,,,SpatialThing,
170,50.8907738,,5.9704828,,,SpatialThing,
171,50.8421822,,5.7019453,,,SpatialThing,
172,52.3691,,4.9043,,,SpatialThing,
173,51.4416,,5.4735,,,SpatialThing,
174,50.8862305,,5.9769402,,,SpatialThing,
175,52.0746613,,4.3101201,,,SpatialThing,
176,52.372,,4.5259,,,SpatialThing,
32,52.357509755,,6.662730733,,,SpatialThing,
144,52.084688408,,4.317504806,,,SpatialThing,
33,52.355189584,,6.668557527,,,SpatialThing,
145,52.306820735,,6.523019719,,,SpatialThing,
34,51.923110962,,4.476303101,,,SpatialThing,
146,52.0243912,,5.0805802,,,SpatialThing,
35,51.500646663,,3.88922018,,,SpatialThing,
147,51.9798698,,5.9112601,,,SpatialThing,
36,51.50338159,,3.886831525,,,SpatialThing,
148,52.314343821,,6.927615381,,,SpatialThing,
37,52.0759315,,4.3075109,,,SpatialThing,
149,53.2147408,,6.5566001,,,SpatialThing,
38,51.885769831,,4.489161403,,,SpatialThing,
39,52.024164579,,5.556493501,,,SpatialThing,
140,52.0503197,,4.2750902,,,SpatialThing,
40,52.339577164,,4.893349364,,,SpatialThing,
141,51.1910286,,5.9899702,,,SpatialThing,
41,52.089612837,,5.113427639,,,SpatialThing,
142,52.090173,,5.11464,,,SpatialThing,
42,52.4387207,,4.8232899,,,SpatialThing,
143,52.2246361,,5.1772847,,,SpatialThing,
29,51.532970336,,4.458473364,,,SpatialThing,
21,51.8131409,,4.6704602,,,SpatialThing,
155,52.0467987,,4.3296099,,,SpatialThing,
22,52.17164666,,5.370671681,,,SpatialThing,
156,52.0935516,,5.1148601,,,SpatialThing,
23,52.3010597,,4.8671298,,,SpatialThing,
157,50.85392,,5.6940999,,,SpatialThing,
24,52.263712179,,4.492319226,,,SpatialThing,
158,52.1228905,,6.2175999,,,SpatialThing,
25,52.355128464,,6.668551272,,,SpatialThing,
159,52.3699188,,4.8766699,,,SpatialThing,
26,53.216608313,,6.56529665,,,SpatialThing,
27,51.5856514,,4.77353,,,SpatialThing,
28,52.361346741,,6.670696474,,,SpatialThing,
150,52.081803267,,4.292939324,,,SpatialThing,
151,52.078331,,4.3167901,,,SpatialThing,
152,52.075427267,,4.360230582,,,SpatialThing,
30,52.355541022,,6.668695124,,,SpatialThing,
153,50.884202782,,5.752538184,,,SpatialThing,
31,52.35629207,,6.661378704,,,SpatialThing,
154,51.872139094,,4.599366188,,,SpatialThing,
188,51.444313,,5.4797578,,,SpatialThing,
189,50.8495483,,5.6877899,,,SpatialThing,
180,52.0780792,,5.1470599,,,SpatialThing,
181,52.089804008,,5.113255978,,,SpatialThing,
182,51.4378,,5.4763,,,SpatialThing,
183,52.0752792,,4.31601,,,SpatialThing,
184,51.530177023,,4.452651209,,,SpatialThing,
185,52.1555,,4.4942,,,SpatialThing,
186,53.214003166,,6.566734314,,,SpatialThing,
187,51.9037819,,4.45962,,,SpatialThing,
199,52.0186467,,5.1777145,,,SpatialThing,
191,52.661951458,,4.830819368,,,SpatialThing,
192,51.91985,,4.48595,,,SpatialThing,
193,52.302892955,,6.757549431,,,SpatialThing,
194,51.8488083,,5.8678598,,,SpatialThing,
195,52.1464615,,4.4927402,,,SpatialThing,
196,52.309365535,,4.946839795,,,SpatialThing,
197,51.3684998,,6.1658802,,,SpatialThing,
198,52.077086524,,4.319522419,,,SpatialThing,
190,52.0241089,,5.55621,,,SpatialThing,
207,52.366323864,,4.891803808,,,SpatialThing,
208,52.0447311,,5.6721401,,,SpatialThing,
209,51.9075,,4.3393,,,SpatialThing,
98,51.870185714,,4.601280205,,,SpatialThing,
99,51.522596033,,5.971793371,,,SpatialThing,
200,53.2151604,,6.5718002,,,SpatialThing,
201,52.091159821,,5.111728191,,,SpatialThing,
202,52.0794411,,4.3186998,,,SpatialThing,
203,51.918479499,,4.476826787,,,SpatialThing,
204,52.992839813,,6.561239243,,,SpatialThing,
205,51.528779588,,4.45616886,,,SpatialThing,
206,52.384732,,4.894227,,,SpatialThing,
218,50.8564796,,5.6986299,,,SpatialThing,
219,52.324047638,,4.655544768,,,SpatialThing,
87,51.917041856,,4.488290548,,,SpatialThing,
210,51.916341579,,4.478031279,,,SpatialThing,
88,52.996208191,,6.558767796,,,SpatialThing,
211,52.0842514,,4.3049302,,,SpatialThing,
89,51.495858224,,3.615205719,,,SpatialThing,
212,52.1671295,,4.4819698,,,SpatialThing,
213,51.496493932,,3.62199793,,,SpatialThing,
214,52.067451288,,4.398050308,,,SpatialThing,
215,52.957170164,,4.765393623,,,SpatialThing,
216,53.142986499,,7.035884857,,,SpatialThing,
217,52.66513,,4.8255,,,SpatialThing,
90,52.0279312,,5.56006,,,SpatialThing,
91,52.997533205,,6.560586691,,,SpatialThing,
92,53.221723593,,6.563252786,,,SpatialThing,
93,52.3143883,,4.9542599,,,SpatialThing,
94,52.3846207,,4.8666201,,,SpatialThing,
95,51.91445262,,4.401787895,,,SpatialThing,
96,51.9044,,4.4845,,,SpatialThing,
97,52.0828514,,4.3256102,,,SpatialThing,
