Subject,type,rowID,member,areamanagerid,areaid,areadesc,startdataarea,enddataarea,usageid,location,deliveryAddress,cityName,lat,long,stateAbbr,zipCode
https://opendata.rdw.nl/resource/t5pc-eb34/row-9kav.ry5j_ehry,https://opendata.rdw.nl/resource/t5pc-eb34,row-9kav.ry5j_ehry,t5pc-eb34,2448,935_PLEIN,Garage Plein 1992 (Maastricht),20140101,29991231,GARAGEP,60,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-8kv2-rs82.5u8k,https://opendata.rdw.nl/resource/t5pc-eb34,row-8kv2-rs82.5u8k,t5pc-eb34,2062,637_FRLN,Garage Frankrijklaan (Zoetermeer),20131106,29991231,GARAGEP,61,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-c84y.9sz6_abr9,https://opendata.rdw.nl/resource/t5pc-eb34,row-c84y.9sz6_abr9,t5pc-eb34,2448,14_MUSEUM,Garage Museum Centrum (Groningen),20130916,29991231,GARAGEP,62,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-4ymm_22u4.q2vi,https://opendata.rdw.nl/resource/t5pc-eb34,row-4ymm_22u4.q2vi,t5pc-eb34,2448,164_BRINK,De Brink (Hengelo),20140101,29991231,GARAGEP,63,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-qaea_6f98-p53f,https://opendata.rdw.nl/resource/t5pc-eb34,row-qaea_6f98-p53f,t5pc-eb34,2448,935_COLON,Garage De Colonel (Maastricht),20140101,29991231,GARAGEP,64,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-7ujs-zsbn~rkrz,https://opendata.rdw.nl/resource/t5pc-eb34,row-7ujs-zsbn~rkrz,t5pc-eb34,2448,917_LOON,Garage 't Loon (Heerlen),20140101,29991231,GARAGEP,65,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-ggpz-pkw4-twx5,https://opendata.rdw.nl/resource/t5pc-eb34,row-ggpz-pkw4-twx5,t5pc-eb34,2448,363_BOS,Garage Bos en Lommer (Amsterdam),20131122,29991231,GARAGEP,66,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-kh7w.zy5i~p2px,https://opendata.rdw.nl/resource/t5pc-eb34,row-kh7w.zy5i~p2px,t5pc-eb34,2448,935_GRIEND,Garage De Griend (Maastricht),20140101,29991231,GARAGEP,67,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-scdb.hqyd.692s,https://opendata.rdw.nl/resource/t5pc-eb34,row-scdb.hqyd.692s,t5pc-eb34,2448,363_ORAN,Garage Oranjekwartier (Amsterdam),20131121,29991231,GARAGEP,68,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-hxwj_pnj3-aixy,https://opendata.rdw.nl/resource/t5pc-eb34,row-hxwj_pnj3-aixy,t5pc-eb34,1684,1684_MAA,Garage Maasburg,20131004,29991231,GARAGEP,69,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-uxxv.xezq~y7df,https://opendata.rdw.nl/resource/t5pc-eb34,row-uxxv.xezq~y7df,t5pc-eb34,2448,363_SYMP,Garage Symphony (Amsterdam),20131122,29991231,GARAGEP,70,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-9mxb_64yb_sevu,https://opendata.rdw.nl/resource/t5pc-eb34,row-9mxb_64yb_sevu,t5pc-eb34,2448,518_LAAK,Garage Laakhaven (Den Haag),20131125,29991231,GARAGEP,71,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-3ehf~uvzw.q6c2,https://opendata.rdw.nl/resource/t5pc-eb34,row-3ehf~uvzw.q6c2,t5pc-eb34,2062,518_SPUI,Garage Spui Centre (Den Haag),20131030,29991231,GARAGEP,72,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-nxc4~9pqp~e79m,https://opendata.rdw.nl/resource/t5pc-eb34,row-nxc4~9pqp~e79m,t5pc-eb34,2448,363_BIJ,Garage De Bijenkorf (Amsterdam),20131122,29991231,GARAGEP,73,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-gt7j.q5b6_pgcz,https://opendata.rdw.nl/resource/t5pc-eb34,row-gt7j.q5b6_pgcz,t5pc-eb34,2448,362_SCHO,Garage Schouwburg (Amstelveen),20131118,29991231,GARAGEP,74,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-j25g_gg8j~u7yx,https://opendata.rdw.nl/resource/t5pc-eb34,row-j25g_gg8j~u7yx,t5pc-eb34,2448,363_P24,Garage Amsterdamse Poort P24 (Amsterdam),20131121,29991231,GARAGEP,75,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-ndb7_mczp~dk7h,https://opendata.rdw.nl/resource/t5pc-eb34,row-ndb7_mczp~dk7h,t5pc-eb34,2448,513_NWMAR,Garage Nieuwe Markt (Gouda),20130918,29991231,GARAGEP,76,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-j77w-hxwy-3dg7,https://opendata.rdw.nl/resource/t5pc-eb34,row-j77w-hxwy-3dg7,t5pc-eb34,2448,599_ZORG,Garage Zorgboulevard (Rotterdam),20150730,29991231,GARAGEP,77,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-qpxb~53vt-g9w2,https://opendata.rdw.nl/resource/t5pc-eb34,row-qpxb~53vt-g9w2,t5pc-eb34,2448,345_PASS,Parkeergarage Passage (Veenendaal),20140101,29991231,GARAGEP,78,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-r2h8~jft3~kdg7,https://opendata.rdw.nl/resource/t5pc-eb34,row-r2h8~jft3~kdg7,t5pc-eb34,2062,307_ASCH,Garage Asch van Wijckstraat (Amersfoort),20150827,29991231,GARAGEP,79,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-8vx3-y5ha_mdgy,https://opendata.rdw.nl/resource/t5pc-eb34,row-8vx3-y5ha_mdgy,t5pc-eb34,2460,599_EUKO,Garage Eudokiaplein (Rotterdam),20131113,29991231,GARAGEP,80,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-g9yi~pmiw.x2dj,https://opendata.rdw.nl/resource/t5pc-eb34,row-g9yi~pmiw.x2dj,t5pc-eb34,2062,772_GRIJ,Garage De Grijze Generaal (Eindhoven),20131030,29991231,GARAGEP,81,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-7qnq.hihx_67ae,https://opendata.rdw.nl/resource/t5pc-eb34,row-7qnq.hihx_67ae,t5pc-eb34,2448,228_MARK,Garage Markt (Ede),20131128,29991231,GARAGEP,82,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-dtah~6dnn~ddzs,https://opendata.rdw.nl/resource/t5pc-eb34,row-dtah~6dnn~ddzs,t5pc-eb34,2460,363_BANK,Garage The Bank (Amsterdam),20131112,29991231,GARAGEP,83,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-wbkx.f5hw_bn64,https://opendata.rdw.nl/resource/t5pc-eb34,row-wbkx.f5hw_bn64,t5pc-eb34,2448,599_ALE3,Garage Alexandrium III Woonmall (Rotterdam),20141118,29991231,GARAGEP,84,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-55y5-k7ce_8kfk,https://opendata.rdw.nl/resource/t5pc-eb34,row-55y5-k7ce_8kfk,t5pc-eb34,2448,547_RIJNL,Garage P3 Rijnland Vierzicht (Leiderdorp),20140101,29991231,GARAGEP,85,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-niav.5dqc.j8ih,https://opendata.rdw.nl/resource/t5pc-eb34,row-niav.5dqc.j8ih,t5pc-eb34,1674,1674_ROSE,Garage Roselaar (Roosendaal),20131009,29991231,GARAGEP,86,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-hvrt-4pbv_3kgp,https://opendata.rdw.nl/resource/t5pc-eb34,row-hvrt-4pbv_3kgp,t5pc-eb34,2449,599_RED,Garage The Red Apple Parkeerkelder (Rotterdam),20131108,29991231,GARAGEP,87,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-svgu_sgzi~dvg4,https://opendata.rdw.nl/resource/t5pc-eb34,row-svgu_sgzi~dvg4,t5pc-eb34,2449,106_MERC,Garage Mercurius (Assen),20131107,29991231,GARAGEP,88,,,,,,
