Subject,areaid,enddataarea,rowID,member,startdataarea,usageid,areamanagerid,areadesc,type,location
row-zk82_agnw.39zs,748_PARA,29991231,row-zk82_agnw.39zs,t5pc-eb34,20131022,GARAGEP,748,Garage De Parade (Bergen op Zoom),t5pc-eb34,2
row-q4ty_dynv_pyng,935_VRIJT,29991231,row-q4ty_dynv_pyng,t5pc-eb34,20140101,GARAGEP,2448,Garage Vrijthof (Maastricht),t5pc-eb34,189
row-mp4p~2x2q-m2ar,597_KOPL,29991231,row-mp4p~2x2q-m2ar,t5pc-eb34,20131107,GARAGEP,2449,Garage Koningsplein (Ridderkerk),t5pc-eb34,154
row-g9yi~pmiw.x2dj,772_GRIJ,29991231,row-g9yi~pmiw.x2dj,t5pc-eb34,20131030,GARAGEP,2062,Garage De Grijze Generaal (Eindhoven),t5pc-eb34,81
row-5czw_rekk_ddrh,363_BYZA,29991231,row-5czw_rekk_ddrh,t5pc-eb34,20131122,GARAGEP,2448,Garage Byzantium (Amsterdam),t5pc-eb34,228
row-ndb7_mczp~dk7h,513_NWMAR,29991231,row-ndb7_mczp~dk7h,t5pc-eb34,20130918,GARAGEP,2448,Garage Nieuwe Markt (Gouda),t5pc-eb34,76
row-iw8k_6uus~zkbj,917_PUT,29991231,row-iw8k_6uus~zkbj,t5pc-eb34,20140101,GARAGEP,2448,Garage Putgraaf (Heerlen),t5pc-eb34,222
row-uv7x-856b-46k5,518_LVGA,29991231,row-uv7x-856b-46k5,t5pc-eb34,20131107,GARAGEP,2449,Garage Station Leidschenveen Garage (Den Haag),t5pc-eb34,214
row-zawq~5smg.xg4j,599_KRUI,29991231,row-zawq~5smg.xg4j,t5pc-eb34,20131108,GARAGEP,2449,Garage Kruiskade (Rotterdam),t5pc-eb34,34
row-igfe-iffj.3zv2,772_MATHIL,29991231,row-igfe-iffj.3zv2,t5pc-eb34,20130919,GARAGEP,2062,Garage Mathildelaan (Eindhoven),t5pc-eb34,173
row-wbsh~vsta_yw7u,1674_LIGA,29991231,row-wbsh~vsta_yw7u,t5pc-eb34,20131009,GARAGEP,1674,Garage Liga (Roosendaal),t5pc-eb34,184
row-vw7j_phzc.h8ig,537_ZEE,29991231,row-vw7j_phzc.h8ig,t5pc-eb34,20131105,GARAGEP,2062,Garage Zeehos (Katwijk),t5pc-eb34,1
row-8vx3-y5ha_mdgy,599_EUKO,29991231,row-8vx3-y5ha_mdgy,t5pc-eb34,20131113,GARAGEP,2460,Garage Eudokiaplein (Rotterdam),t5pc-eb34,80
row-s5rf~uq6z.v72m,363_P21,29991231,row-s5rf~uq6z.v72m,t5pc-eb34,20131118,GARAGEP,2448,Garage Amsterdamse Poort P21 (Amsterdam),t5pc-eb34,93
row-585q-9frn-3jgx,935_BASSIN,29991231,row-585q-9frn-3jgx,t5pc-eb34,20140101,GARAGEP,2448,Bassin (Maastricht),t5pc-eb34,54
row-65bi-9wph_dv2i,917_CORIO,29991231,row-65bi-9wph_dv2i,t5pc-eb34,20140101,GARAGEP,2448,,t5pc-eb34,124
row-zmu2.p58z.dci9,637_ORFSCH,29991231,row-zmu2.p58z.dci9,t5pc-eb34,20131024,GARAGEP,2062,Garage Orfeoschouw (Zoetermeer),t5pc-eb34,223
row-yutg_g5ht-x6az,345_GEM,29991231,row-yutg_g5ht-x6az,t5pc-eb34,20140101,GARAGEP,2062,Garage Gemeentehuis (Veenendaal),t5pc-eb34,39
row-nxc4~9pqp~e79m,363_BIJ,29991231,row-nxc4~9pqp~e79m,t5pc-eb34,20131122,GARAGEP,2448,Garage De Bijenkorf (Amsterdam),t5pc-eb34,73
row-42ur_jcdz-sdm9,400_SLUI,29991231,row-42ur_jcdz-sdm9,t5pc-eb34,20141106,GARAGEP,2062,Garage Sluisdijk (Den Helder),t5pc-eb34,215
row-khg9-s925.d56n,321_CAST,29991231,row-khg9-s925.d56n,t5pc-eb34,20131107,GARAGEP,2449,Garage Castellum (Houten),t5pc-eb34,199
row-56i4_zku2~wczb,826_AREND,29991231,row-56i4_zku2~wczb,t5pc-eb34,20140101,GARAGEP,2448,Garage Arendshof (Oosterhout),t5pc-eb34,128
row-zyuy~ttq7.qqg2,1926_PARA,29991231,row-zyuy~ttq7.qqg2,t5pc-eb34,20131105,GARAGEP,2062,Garage Parade (Pijnacker-Nootdorp),t5pc-eb34,12
row-ggpz-pkw4-twx5,363_BOS,29991231,row-ggpz-pkw4-twx5,t5pc-eb34,20131122,GARAGEP,2448,Garage Bos en Lommer (Amsterdam),t5pc-eb34,66
row-ck3p.2uja_yztv,268_CASI,29991231,row-ck3p.2uja_yztv,t5pc-eb34,20131111,GARAGEP,2453,Garage Holland Casino (Nijmegen),t5pc-eb34,194
row-ajgd.y243_zy9t,363_EURP,29991231,row-ajgd.y243_zy9t,t5pc-eb34,20131122,GARAGEP,2448,Garage Europarking (Amsterdam),t5pc-eb34,159
row-rj54_naj8.h3pq,1674_BIGG,29991231,row-rj54_naj8.h3pq,t5pc-eb34,20131009,GARAGEP,1674,Garage Biggelaar (Roosendaal),t5pc-eb34,29
row-uvps_z8xi.f49i,637_ENGLN,29991231,row-uvps_z8xi.f49i,t5pc-eb34,20131024,GARAGEP,2062,Garage Engelandlaan (Zoetermeer),t5pc-eb34,52
row-pte8_azg7_thqx,1926_KEI,29991231,row-pte8_azg7_thqx,t5pc-eb34,20131113,GARAGEP,2460,Garage Keijzershof (Pijnacker-Nootdorp),t5pc-eb34,169
row-djf8~rf8w_punj,106_TORL,29991231,row-djf8~rf8w_punj,t5pc-eb34,20131107,GARAGEP,2449,Garage Torenlaan (Assen),t5pc-eb34,204
row-zzc7.64hg-nue3,1674_MLHL,29991231,row-zzc7.64hg-nue3,t5pc-eb34,20131009,GARAGEP,1674,Garage Mill Hill (Roosendaal),t5pc-eb34,205
row-eamg_ahf2-gr38,402_HILVER,29991231,row-eamg_ahf2-gr38,t5pc-eb34,20140101,GARAGEP,2448,Garage Hilvertshof (Hilversum),t5pc-eb34,143
row-vah6~rqjd.qybz,599_MAR,29991231,row-vah6~rqjd.qybz,t5pc-eb34,20140901,GARAGEP,2449,Garage Markthal (Rotterdam),t5pc-eb34,192
row-pt83~pmwm-qsgv,362_VD,29991231,row-pt83~pmwm-qsgv,t5pc-eb34,20131030,GARAGEP,2062,Garage V&D Centre (Amstelveen),t5pc-eb34,23
row-3ehf~uvzw.q6c2,518_SPUI,29991231,row-3ehf~uvzw.q6c2,t5pc-eb34,20131030,GARAGEP,2062,Garage Spui Centre (Den Haag),t5pc-eb34,72
row-szgr-vnfi.i5t3,344_P1,29991231,row-szgr-vnfi.i5t3,t5pc-eb34,20131108,GARAGEP,2449,Garage Hoog Catharijne P1 (utrecht),t5pc-eb34,181
row-kh7w.zy5i~p2px,935_GRIEND,29991231,row-kh7w.zy5i~p2px,t5pc-eb34,20140101,GARAGEP,2448,Garage De Griend (Maastricht),t5pc-eb34,67
row-76bh-f5tq-nwf8,599_WPC,29991231,row-76bh-f5tq-nwf8,t5pc-eb34,20131105,GARAGEP,2062,Garage World Port Center (Rotterdam),t5pc-eb34,96
row-vu8f_dsvp-cphm,363_OLYM,29991231,row-vu8f_dsvp-cphm,t5pc-eb34,20131030,GARAGEP,2062,Garage Olympisch Stadion (Amsterdam),t5pc-eb34,114
row-qwd9-tyex-dh77,1742_DHW,29991231,row-qwd9-tyex-dh77,t5pc-eb34,20131009,GARAGEP,1742,Garage De Hoge Wal (Rijssen),t5pc-eb34,46
