rok,prumerny_plat_cssz,median
2006,20398,
2007,21727,
2008,22481,
2009,23604,
2010,23207,
2011,21136,17420
2012,20845,17818
2013,21144,18766
2014,23015,19473
2015,24032,20803
2016,25228,22226
2017,26557,23483
2018,28916,25937
2019,31211,27432
2020,33349,30139
2021,34039,29953
2022,35137,31228
2023,38011,33834
