"poradi","poskytovatel","druh_podpory_kod","druh_podpory_popis","rok","stav_podpory","vyse_podpory"
"137","MZE","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů","2015","PRI","5100000.00"
"138","MZE","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů","2015","CER-1","1128000.00"
"139","MZE","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů","2016","PRI","3000000.00"
"140","TA0","CIN","Náklady spojené s činností poskytovatele","2012","CER-1","70251000.00"
"141","TA0","CIN","Náklady spojené s činností poskytovatele","2013","PRI","99030000.00"
"142","URV","CIN","Náklady spojené s činností poskytovatele","2009","CER-1","16073000.00"
"143","URV","CIN","Náklady spojené s činností poskytovatele","2012","CER-1","34853000.00"
"144","URV","CIN","Náklady spojené s činností poskytovatele","2013","PRI","33000000.00"
"145","URV","OMV","Věcné nebo finanční ocenění mimořádných výsledků","2012","CER-1","1000000.00"
"146","URV","OMV","Věcné nebo finanční ocenění mimořádných výsledků","2013","PRI","1000000.00"
"147","MO0","CIN","Náklady spojené s činností poskytovatele (podle § 3 odst. 3 písm. f) zákona č. 130/2002 Sb.)","2016","CER-1","652000.00"
"148","MO0","CIN","Náklady spojené s činností poskytovatele (podle § 3 odst. 3 písm. f) zákona č. 130/2002 Sb.)","2017","PRI","3340000.00"
"149","AV0","CIN","Náklady spojené s činností poskytovatele (podle § 3 odst. 3 písm. f) zákona č. 130/2002 Sb.)","2016","CER-1","1371940000.00"
"150","AV0","CIN","Náklady spojené s činností poskytovatele (podle § 3 odst. 3 písm. f) zákona č. 130/2002 Sb.)","2017","PRI","1578466000.00"
"151","MZE","OMV","Věcné nebo finanční ocenění mimořádných výsledků (podle § 3 odst. 3 písm. e) zákona č. 130/2002 Sb.)","2016","CER-1","300000.00"
"152","MZE","OMV","Věcné nebo finanční ocenění mimořádných výsledků (podle § 3 odst. 3 písm. e) zákona č. 130/2002 Sb.)","2017","PRI","300000.00"
"153","MZE","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů (podle § 3 odst. 3 písm. d) zákona č. 130/2002 Sb.)","2016","CER-1","2371000.00"
"154","MZE","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů (podle § 3 odst. 3 písm. d) zákona č. 130/2002 Sb.)","2017","PRI","3000000.00"
"155","MZ0","OMV","Věcné nebo finanční ocenění mimořádných výsledků (podle § 3 odst. 3 písm. e) zákona č. 130/2002 Sb.)","2016","CER-1","500000.00"
"156","MZ0","OMV","Věcné nebo finanční ocenění mimořádných výsledků (podle § 3 odst. 3 písm. e) zákona č. 130/2002 Sb.)","2017","PRI","300000.00"
"157","MZ0","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů (podle § 3 odst. 3 písm. d) zákona č. 130/2002 Sb.)","2016","CER-1","28930000.00"
"158","MZ0","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů (podle § 3 odst. 3 písm. d) zákona č. 130/2002 Sb.)","2017","PRI","31262000.00"
"159","MZ0","SPP","Skutečně vynaložená výše podpory na skupinu grantových projektů nebo program (podle § 3 písm. b) bod 8 nařízení vlády)","2016","CER-1","695166000.00"
"160","MZ0","SPP","Skutečně vynaložená výše podpory na skupinu grantových projektů nebo program (podle § 3 písm. b) bod 8 nařízení vlády)","2017","PRI","900000000.00"
"161","GA0","CIN","Náklady spojené s činností poskytovatele (podle § 3 odst. 3 písm. f) zákona č. 130/2002 Sb.)","2017","CER-1","85015000.00"
"162","GA0","CIN","Náklady spojené s činností poskytovatele (podle § 3 odst. 3 písm. f) zákona č. 130/2002 Sb.)","2018","PRI","109783000.00"
"163","GA0","OMV","Věcné nebo finanční ocenění mimořádných výsledků (podle § 3 odst. 3 písm. e) zákona č. 130/2002 Sb.)","2017","CER-1","500000.00"
"164","GA0","OMV","Věcné nebo finanční ocenění mimořádných výsledků (podle § 3 odst. 3 písm. e) zákona č. 130/2002 Sb.)","2018","PRI","500000.00"
"165","MZ0","OMV","Věcné nebo finanční ocenění mimořádných výsledků (podle § 3 odst. 3 písm. e) zákona č. 130/2002 Sb.)","2017","CER-1","0.00"
"166","MZ0","OMV","Věcné nebo finanční ocenění mimořádných výsledků (podle § 3 odst. 3 písm. e) zákona č. 130/2002 Sb.)","2018","PRI","300000.00"
"167","MZ0","SPP","Skutečně vynaložená výše podpory na skupinu grantových projektů nebo program (podle § 3 písm. b) bod 8 nařízení vlády)","2017","CER-1","981075000.00"
"168","MZ0","SPP","Skutečně vynaložená výše podpory na skupinu grantových projektů nebo program (podle § 3 písm. b) bod 8 nařízení vlády)","2018","PRI","900000000.00"
"169","MZ0","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů (podle § 3 odst. 3 písm. d) zákona č. 130/2002 Sb.)","2017","CER-1","14375000.00"
"170","MZ0","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů (podle § 3 odst. 3 písm. d) zákona č. 130/2002 Sb.)","2018","PRI","36295000.00"
"171","MZE","OMV","Věcné nebo finanční ocenění mimořádných výsledků (podle § 3 odst. 3 písm. e) zákona č. 130/2002 Sb.)","2017","CER-1","300000.00"
"172","MZE","OMV","Věcné nebo finanční ocenění mimořádných výsledků (podle § 3 odst. 3 písm. e) zákona č. 130/2002 Sb.)","2018","PRI","420000.00"
"173","MZE","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů (podle § 3 odst. 3 písm. d) zákona č. 130/2002 Sb.)","2017","CER-1","2734000.00"
"174","MZE","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů (podle § 3 odst. 3 písm. d) zákona č. 130/2002 Sb.)","2018","PRI","5000000.00"
"175","MO0","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů (podle § 3 odst. 3 písm. d) zákona č. 130/2002 Sb.)","2017","CER-1","1255000.00"
"176","MO0","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů (podle § 3 odst. 3 písm. d) zákona č. 130/2002 Sb.)","2018","PRI","2500000.00"
"177","AV0","CIN","Náklady spojené s činností poskytovatele (podle § 3 odst. 3 písm. f) zákona č. 130/2002 Sb.)","2017","CER-1","1679826000.00"
"178","AV0","CIN","Náklady spojené s činností poskytovatele (podle § 3 odst. 3 písm. f) zákona č. 130/2002 Sb.)","2018","PRI","1737827000.00"
"179","MPS","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů (podle § 3 odst. 3 písm. d) zákona č. 130/2002 Sb.)","2017","CER-1","0.00"
"180","MPS","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů (podle § 3 odst. 3 písm. d) zákona č. 130/2002 Sb.)","2018","PRI","274000.00"
"181","TA0","CIN","Náklady spojené s činností poskytovatele (podle § 3 odst. 3 písm. f) zákona č. 130/2002 Sb.)","2017","CER-1","110774000.00"
"182","TA0","CIN","Náklady spojené s činností poskytovatele (podle § 3 odst. 3 písm. f) zákona č. 130/2002 Sb.)","2018","PRI","128445000.00"
"183","MPO","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů (podle § 3 odst. 3 písm. d) zákona č. 130/2002 Sb.)","2017","CER-1","7601000.00"
"184","MPO","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů (podle § 3 odst. 3 písm. d) zákona č. 130/2002 Sb.)","2018","PRI","7000000.00"
"185","MK0","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů (podle § 3 odst. 3 písm. d) zákona č. 130/2002 Sb.)","2017","CER-1","4479000.00"
"186","MK0","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů (podle § 3 odst. 3 písm. d) zákona č. 130/2002 Sb.)","2018","PRI","4479000.00"
"187","URV","OMV","Věcné nebo finanční ocenění mimořádných výsledků (podle § 3 odst. 3 písm. e) zákona č. 130/2002 Sb.)","2017","CER-1","1350000.00"
"188","URV","OMV","Věcné nebo finanční ocenění mimořádných výsledků (podle § 3 odst. 3 písm. e) zákona č. 130/2002 Sb.)","2018","PRI","0.00"
"189","URV","CIN","Náklady spojené s činností poskytovatele (podle § 3 odst. 3 písm. f) zákona č. 130/2002 Sb.)","2017","CER-1","75020000.00"
"190","URV","CIN","Náklady spojené s činností poskytovatele (podle § 3 odst. 3 písm. f) zákona č. 130/2002 Sb.)","2018","PRI","79404000.00"
"191","MV0","OMV","Věcné nebo finanční ocenění mimořádných výsledků (podle § 3 odst. 3 písm. e) zákona č. 130/2002 Sb.)","2017","CER-1","500000.00"
"192","MV0","OMV","Věcné nebo finanční ocenění mimořádných výsledků (podle § 3 odst. 3 písm. e) zákona č. 130/2002 Sb.)","2018","PRI","500000.00"
"193","MV0","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů (podle § 3 odst. 3 písm. d) zákona č. 130/2002 Sb.)","2017","CER-1","925000.00"
"194","MV0","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů (podle § 3 odst. 3 písm. d) zákona č. 130/2002 Sb.)","2018","PRI","4807000.00"
"195","MPO","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů (podle § 3 odst. 3 písm. d) zákona č. 130/2002 Sb.)","2018","CER-1","7025000.00"
"196","MPO","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů (podle § 3 odst. 3 písm. d) zákona č. 130/2002 Sb.)","2019","PRI","7000000.00"
"197","MO0","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů (podle § 3 odst. 3 písm. d) zákona č. 130/2002 Sb.)","2018","CER-1","606000.00"
