Subject,type,rowID,member,id,psp_id,psp_desc,ente_cf,ente_desc,ente_cap,ente_prov,pag_importo,pag_data,tipo_dovuto,modello,ultima_modifica_data,ora
row-dbz3-6d5g.n84i,dr3m-v3by,row-dbz3-6d5g.n84i,dr3m-v3by,35006204,PPAYITR1XXX,Postepay,00801220153,Comune di Bollate,20021,MI,158.92,2025-01-04T00:00:00,pj_mensascolastica,3,2025-01-04T11:01:30,11
row-j222_hxzq-vv5r,dr3m-v3by,row-j222_hxzq-vv5r,dr3m-v3by,35006203,BIC32698,LIS Pay SPA,84507570152,Comune di Lodi,26900,LO,16.23,2025-01-04T00:00:00,servizicimiteriali,3,2025-01-04T11:01:25,11
row-q3xy.gust~3cic,dr3m-v3by,row-q3xy.gust~3cic,dr3m-v3by,35006202,PPAYITR1XXX,Postepay,80013950177,Comune di Nuvolera,25080,BS,90.00,2025-01-04T00:00:00,pj_trasportoscolastico,3,2025-01-04T11:01:24,11
row-sqyd.4aiw_wx2e,dr3m-v3by,row-sqyd.4aiw_wx2e,dr3m-v3by,35006201,ABI03069,Intesa Sanpaolo S.p.A,85001870188,Comune di Vigevano,27029,PV,70.48,2025-01-04T00:00:00,ts_verbali_cds,3,2025-01-04T11:01:24,11
row-9kk8_8w22-95p6,dr3m-v3by,row-9kk8_8w22-95p6,dr3m-v3by,35006200,PPAYITR1XXX,Postepay,00623530136,Comune di Lecco,23900,LC,68.30,2025-01-04T00:00:00,mg_violazioni_cds,3,2025-01-04T11:01:23,11
row-ci6m.sspf.usxg,dr3m-v3by,row-ci6m.sspf.usxg,dr3m-v3by,35006199,PPAYITR1XXX,Postepay,00761890177,Comune di Brescia,25121,BS,1388.80,2025-01-04T00:00:00,violazionecodicestrada,3,2025-01-04T11:01:19,11
row-96z3.v8u2-539e,dr3m-v3by,row-96z3.v8u2-539e,dr3m-v3by,35006198,BIC32698,LIS Pay SPA,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,4.21,2025-01-04T00:00:00,solleciti,3,2025-01-04T11:01:18,11
row-5z8d~3vys_p8gh,dr3m-v3by,row-5z8d~3vys_p8gh,dr3m-v3by,35006197,BPPIITRRXXX,Poste Italiane S.p.A.,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,4.59,2025-01-04T00:00:00,solleciti,3,2025-01-04T11:01:18,11
row-wsp8-e3wu_4x9x,dr3m-v3by,row-wsp8-e3wu_4x9x,dr3m-v3by,35006196,SIGPITM1XXX,MOONEY S.P.A.,02481840201,ASST di Mantova,46100,MN,25.00,2025-01-04T00:00:00,TICKET_SANITARIO,3,2025-01-04T11:01:14,11
row-fqzk.3shf_imne,dr3m-v3by,row-fqzk.3shf_imne,dr3m-v3by,35006195,PPAYITR1XXX,Postepay,00801220153,Comune di Bollate,20021,MI,24.00,2025-01-04T00:00:00,sch_cup_mercatali,3,2025-01-04T11:01:13,11
row-k5vr~xty8~4vqd,dr3m-v3by,row-k5vr~xty8~4vqd,dr3m-v3by,35006194,PPAYITR1XXX,Postepay,09319690963,ASST Fatebenefratelli Sacco,20157,MI,179.00,2025-01-04T00:00:00,TICKET_SANITARIO,3,2025-01-04T11:01:12,11
row-h2u2-5h6r~78dp,dr3m-v3by,row-h2u2-5h6r~78dp,dr3m-v3by,35006193,PPAYITR1XXX,Postepay,00467720181,Comune di Stradella,27049,PV,50.00,2025-01-04T00:00:00,mensascolastica,3,2025-01-04T11:01:11,11
row-2w9z.scj5-kphn,dr3m-v3by,row-2w9z.scj5-kphn,dr3m-v3by,35006192,BIC32698,LIS Pay SPA,09322180960,ASST di Lodi,26900,LO,25.00,2025-01-04T00:00:00,TICKET_SANITARIO,3,2025-01-04T11:01:07,11
row-euag_gju8_9sc2,dr3m-v3by,row-euag_gju8_9sc2,dr3m-v3by,35006191,BAPPIT21,Banca Popolare di Milano SpA,09323530965,ASST Rhodense,20024,MI,72.00,2025-01-04T00:00:00,TICKET_SANITARIO,3,2025-01-04T11:01:05,11
row-dxvs.a6d5~y4vt,dr3m-v3by,row-dxvs.a6d5~y4vt,dr3m-v3by,35006190,CIPBITMM,Nexi,80050050154,Regione Lombardia,20124,MI,141.57,2025-01-04T00:00:00,Tassa Auto,3,2025-01-04T11:00:59,11
row-vhxx-kwh2~9nyr,dr3m-v3by,row-vhxx-kwh2~9nyr,dr3m-v3by,35006189,CIPBITMM,Nexi,80050050154,Regione Lombardia,20124,MI,87.90,2025-01-04T00:00:00,Tassa Auto,3,2025-01-04T11:00:51,11
row-jyr3~tajw.q7rv,dr3m-v3by,row-jyr3~tajw.q7rv,dr3m-v3by,35006188,ATPIITM1,A-Tono Payment Institute S.p.A.,00634160170,Comune di Rezzato,25086,BS,121.10,2025-01-04T00:00:00,in_violazione_cds,3,2025-01-04T11:00:51,11
row-ybhk-9ev6.uxcr,dr3m-v3by,row-ybhk-9ev6.uxcr,dr3m-v3by,35006186,BPPIITRRXXX,Poste Italiane S.p.A.,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,5.49,2025-01-04T00:00:00,solleciti,3,2025-01-04T11:00:47,11
row-78qp_5mnw.mfcq,dr3m-v3by,row-78qp_5mnw.mfcq,dr3m-v3by,35006185,PPAYITR1XXX,Postepay,00182090183,A.L.E.R. DI PAVIA-LODI,27100,PV,33.27,2025-01-04T00:00:00,ALER_LO,3,2025-01-04T11:00:46,11
row-tkbg~79zy_33uv,dr3m-v3by,row-tkbg~79zy_33uv,dr3m-v3by,35006184,PPAYITR1XXX,Postepay,00182090183,A.L.E.R. DI PAVIA-LODI,27100,PV,183.46,2025-01-04T00:00:00,ALER_LO,3,2025-01-04T11:00:46,11
row-pphz_zdbd~tt2f,dr3m-v3by,row-pphz_zdbd~tt2f,dr3m-v3by,35006183,PPAYITR1XXX,Postepay,00467720181,Comune di Stradella,27049,PV,50.00,2025-01-04T00:00:00,mensascolastica,3,2025-01-04T11:00:45,11
row-cr57~vwee_fqiu,dr3m-v3by,row-cr57~vwee_fqiu,dr3m-v3by,35006182,PPAYITR1XXX,Postepay,00269810123,Comune di Bisuschio,21050,VA,76.10,2025-01-04T00:00:00,in_violazione_cds,3,2025-01-04T11:00:44,11
row-9xa3.a52p~rrck,dr3m-v3by,row-9xa3.a52p~rrck,dr3m-v3by,35006181,WOLLNLB1,Worldpay BV,80050050154,Regione Lombardia,20124,MI,16.00,2025-01-04T00:00:00,MARCA_BOLLO_VIRTUALE_001,3,2025-01-04T11:00:43,11
row-vsyi-pejk.suri,dr3m-v3by,row-vsyi-pejk.suri,dr3m-v3by,35006180,ABI02008,Unicredit S.p.A,84507570152,Comune di Lodi,26900,LO,55.00,2025-01-04T00:00:00,ads_mensa_scolastica,3,2025-01-04T11:00:40,11
row-qxy3_s7tj_pqvm,dr3m-v3by,row-qxy3_s7tj_pqvm,dr3m-v3by,35006179,ATPIITM1,A-Tono Payment Institute S.p.A.,81000670208,Comune Città di Goito,46044,MN,22.00,2025-01-04T00:00:00,emisscie,3,2025-01-04T11:00:40,11
row-hm27_v8pz~n77z,dr3m-v3by,row-hm27_v8pz~n77z,dr3m-v3by,35006178,WOLLNLB1,Worldpay BV,80050050154,Regione Lombardia,20124,MI,36.71,2025-01-04T00:00:00,Tassa Auto,3,2025-01-04T11:00:38,11
row-2xev~96uv-hx4s,dr3m-v3by,row-2xev~96uv-hx4s,dr3m-v3by,35006177,PPAYITR1XXX,Postepay,80002130195,Provincia di Cremona,26100,CR,30.00,2025-01-04T00:00:00,dirittivari,3,2025-01-04T11:00:37,11
row-igrm-g9gz~4zqv,dr3m-v3by,row-igrm-g9gz~4zqv,dr3m-v3by,35006176,BIC32698,LIS Pay SPA,04724150968,Fondazione IRCCS Ca Granda Ospedale Maggiore Policlinico,20122,MI,17.90,2025-01-04T00:00:00,TICKET_SANITARIO,3,2025-01-04T11:00:36,11
row-nz25.s78p~hauh,dr3m-v3by,row-nz25.s78p~hauh,dr3m-v3by,35006175,BCITITMM,Intesa Sanpaolo S.p.A,04114380167,ASST di Bergamo Est,24068,BG,25.00,2025-01-04T00:00:00,TICKET_SANITARIO,3,2025-01-04T11:00:31,11
row-dryg.zqmn_vjh2,dr3m-v3by,row-dryg.zqmn_vjh2,dr3m-v3by,35006174,POSOIT22XXX,Banca Popolare di Sondrio,80050050154,Regione Lombardia,20124,MI,31.95,2025-01-04T00:00:00,Tassa Auto,3,2025-01-04T11:00:23,11
row-8yfm.id24~4uhi,dr3m-v3by,row-8yfm.id24~4uhi,dr3m-v3by,35006173,PPAYITR1XXX,Postepay,88002390172,Comune di Pralboino,25020,BS,138.78,2025-01-04T00:00:00,in_violazione_cds,3,2025-01-04T11:00:22,11
row-cbtv-a4i3_qfx6,dr3m-v3by,row-cbtv-a4i3_qfx6,dr3m-v3by,35006172,PPAYITR1XXX,Postepay,00303490189,Fondazione IRCCS Policlinico S.Matteo,27100,PV,36.00,2025-01-04T00:00:00,TICKET_SANITARIO,3,2025-01-04T11:00:13,11
row-5hb8~sh2f~v5gg,dr3m-v3by,row-5hb8~sh2f~v5gg,dr3m-v3by,35006171,BIC32698,LIS Pay SPA,03775110988,ASST Degli Spedali Civili di Brescia,25123,BS,671.00,2025-01-04T00:00:00,ASST721_PREST_PRIV,3,2025-01-04T11:00:11,11
row-h3n5.3q78_vkze,dr3m-v3by,row-h3n5.3q78_vkze,dr3m-v3by,35006170,SIGPITM1XXX,MOONEY S.P.A.,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,13.68,2025-01-04T00:00:00,solleciti,3,2025-01-04T11:00:11,11
row-hpzx.492h-vcdf,dr3m-v3by,row-hpzx.492h-vcdf,dr3m-v3by,35006168,ABI03069,Intesa Sanpaolo S.p.A,01310880156,Comune di Abbiategrasso,20081,MI,84.00,2025-01-04T00:00:00,mg_votiva,3,2025-01-04T11:00:05,11
row-ykw8_ubwp~u8xf,dr3m-v3by,row-ykw8_ubwp~u8xf,dr3m-v3by,35006166,PPAYITR1XXX,Postepay,83000670204,Comune di Viadana,46019,MN,60.50,2025-01-04T00:00:00,pj_mensascolastica,3,2025-01-04T11:00:03,11
row-qv3r_4h9y_dqmk,dr3m-v3by,row-qv3r_4h9y_dqmk,dr3m-v3by,35006165,BIC32698,LIS Pay SPA,00220080162,Comune di Alzano Lombardo,24022,BG,29.40,2025-01-04T00:00:00,in_violazione_cds,3,2025-01-04T10:59:57,10
